Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2017,1,54109329,17488782,71598111
2017,2,51078172,14709988,65788160
2017,3,63963808,17910122,81873930
2017,4,61099004,18686523,79785527
2017,5,64442977,18865393,83308370
2017,6,66746463,20676407,87422870
2017,7,68575481,22690243,91265724
2017,8,66664019,22013119,88677138
2017,9,57144508,17438756,74583264
2017,10,64625405,17604236,82229641
2017,11,61911765,16476642,78388407
2017,12,61374167,18469636,79843803
2018,1,55831159,17897787,73728946
2018,2,54078219,15720901,69799120
2018,3,66644135,19716774,86360909
2018,4,64557780,19111955,83669735
2018,5,67846119,20126585,87972704
2018,6,70279158,22046732,92325890
2018,7,72540389,23754573,96294962
2018,8,70338563,22909627,93248190
2018,9,60468575,18051374,78519949
2018,10,67082086,18830854,85912940
2018,11,64660022,17552376,82212398
2018,12,63646582,19520179,83166761
2019,1,58034262,18690817,76725079
2019,2,55679481,16280536,71960017
2019,3,70234129,20295947,90530076
2019,4,66938654,20019304,86957958
2019,5,71364145,20995113,92359258
2019,6,72790418,22747453,95537871
2019,7,75281916,23907859,99189775
2019,8,72729199,23239180,95968379
2019,9,63991365,18842310,82833675
2019,10,69936836,18982654,88919490
2019,11,64827417,17575113,82402530
2019,12,69737438,19859635,89597073
2020,1,61638893,18955398,80594291
2020,2,59879630,15829198,75708828
2020,3,34420555,8956945,43377500
2020,4,2879712,401329,3281041
2020,5,7861491,372915,8234406
2020,6,16132885,803948,16936833
2020,7,22922158,1862122,24784280
2020,8,23910774,2287544,26198318
2020,9,23854772,2280598,26135370
2020,10,28027209,2969651,30996860
2020,11,26294514,3553139,29847653
2020,12,27264199,4763815,32028014
2021,1,24305908,4505796,28811704
2021,2,24483505,2994451,27477956
2021,3,39343495,4613016,43956511
2021,4,43798929,5469592,49268521
2021,5,52752153,6957729,59709882
2021,6,60109237,8929220,69038457
2021,7,66691716,10753989,77445705
2021,8,60574060,10446392,71020452
2021,9,53853938,8010454,61864392
2021,10,60470049,8434865,68904914
